Year,Make,Model,"Model Series","Exterior Color","Interior Color",Grade,Vda,Mileage,"Buy Now Price",VIN,"Due Location Name",City,State,Zip
2020,CHEVROLET,MALIBU,"LS W/1FL","Silver Ice Metallic","Jet Black-Prem Cloth Seat Trim",4.5,,4798,16900.00,1G1ZC5ST3LF031580,"AUCTION Manheim Fredericksburg",Fredericksburg,VA,22406
2020,CHEVROLET,MALIBU,LT,"Shadow Gray Metallic","Jet Black-Prem Cloth Seat Trim",4.3,,22114,17600.00,1G1ZD5ST0LF019724,"AUCTION Adesa Golden Gate",Tracey,CA,95377
2019,BMW,530,,BLA,,,0.00,19704,34600.00,WBAJA7C53KG912369,"RHP AP O'HARE","Chicago ",IL,60666
2019,BMW,530,I,SIL,BRO,,0.00,15846,38200.00,WBAJA5C56KBX87580,"HARTFORD-BRADLEY INT","Hartford Ap",CT,06096
2019,BMW,530,IXDRV,GRA,BLA,,0.00,11974,40500.00,WBAJA7C55KG912213,"RHP AP PITTSBURGH",Pittsburgh,PA,15231
2019,BMW,530,IXDRV,GRA,BLA,,0.00,15361,36200.00,WBAJA7C58KG911427,"PHILADELPHIA INT'L A","Philadelphia Ap",PA,19153
2019,BMW,530,IXDRV,GRA,BRO,,0.00,18500,35000.00,WBAJA7C55KWW46519,"RHP AP ALBANY",Latham,NY,12110
2019,BMW,530,IXDRV,BLU,BLU,,0.00,15851,36000.00,WBAJA7C58KG910682,"PORTLAND INT'L JETPO","Portland Ap",ME,04102
2019,BMW,530,,SIL,,,90.10,16600,35300.00,WBAJA5C50KWW49879,"RHP AP BUFFALO",Buffalo,NY,14225
2019,BMW,530,IXDRV,SIL,BLA,,0.00,15074,36300.00,WBAJA7C51KG912273,"PARKERSBURG DOWNTOWN",Parkersburg,WV,26101
2019,BMW,530,IXDRV,GRA,BRO,,0.00,25159,34100.00,WBAJA7C53KG911612,"RHP AP ROCHESTER",Rochester,NY,14624
2019,BMW,530,I,SIL,BEI,"4.6                 ",0.00,10784,37400.00,WBAJA5C51KWW46540,"AUCTION Manheim New England","North Dighton",MA,02764
2019,BMW,530,,GRA,,,0.00,11791,37600.00,WBAJA7C55KWW48528,"RHP AP CLEVELAND",Cleveland,OH,44135
2019,BMW,530,IXDRV,SIL,BLA,,0.00,15044,35600.00,WBAJA7C51KG911267,"MEMPHIS INTL AIRPORT",Memphis,TN,38116
2019,BMW,530,IXDRV,BLU,BLA,,3000.82,15775,35300.00,WBAJA7C51KG912449,"RHP AP HARTFORD","Windsor Locks",CT,06096
